incident_id,date,title,victim_country
93,2018-08-13,HUD charges Facebook with enabling housing discrimination,USA
85,2020-10-09,"AI attempts to ease fear of robots, blurts out it cant avoid destroying humankind",worldwide
84,2020-10-09,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks",USA
77,2019-10-04,Knightscopes Park Patrol Robot Ignored Bystander Pressing Emergency Button to Alert Police about Fight,USA
78,2020-07-06,Meet the Secret Algorithm Thats Keeping Students Out of College,worldwide
96,2017-05-08,Houston Schools Must Face Teacher Evaluation Lawsuit,USA
88,2017-08-15,"""Jewish Baby Strollers"" Provided Anti-Semitic Google Images, Allegedly Resulting from Hate Speech Campaign",worldwide
73,2016-03-01,Is Pokémon Go racist? How the app may be redlining communities of color,worldwide
75,2012-01-05,Google Instants Allegedly Anti-Semitic Results Lead To Lawsuit In France,FRA
81,2020-10-21,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers",CAN
86,2020-10-08,Coding Errors in Leaving Certificate Grading Algorithm Caused Inaccurate Scores in Ireland,IRL
74,2020-01-30,Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT,USA
95,2019-11-06,Job Screening Service Halts Facial Analysis of Applicants,worldwide
80,2020-10-24,AI mistakes referees bald head for football — hilarity ensued,worldwide
83,2020-10-22,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection,NGA
97,2020-10-22,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights,worldwide
98,2021-04-28,N.Y.P.D. Robot Dogs Run Is Cut Short After Fierce Backlash,USA
79,1999-03-16,Kidney Testing Method Allegedly Underestimated Risk of Black Patients,USA
87,2020-10-07,UK passport photo checker shows bias against dark-skinned women,GBR
91,2020-12-18,Frontline workers protest at Stanford after hospital distributed vaccine to administrators,worldwide
76,2020-10-09,Live facial recognition is tracking kids suspected of being criminals,ARG
92,2019-11-11,Apple Cards Credit Assessment Algorithm Allegedly Discriminated against Women,worldwide
89,2019-03-15,The Christchurch shooter and YouTubes radicalization trap,NZL
94,2020-11-27,Court Rules Deliveroo Used Discriminatory Algorithm,ITA
110,2016-01-01,Arkansass Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries,USA
111,2015-09-25,Amazon Flex Drivers Allegedly Fired via Automated Employee Evaluations,worldwide
104,2021-02-12,"Californias Algorithm Considered ZIP Codes in Vaccine Distribution, Allegedly Excluding Low-Income Neighborhoods and Communities of Color",USA
106,2020-12-23,Korean Chatbot Luda Made Offensive Remarks towards Minority Groups,KOR
108,2021-07-10,Skating Rinks Facial Recognition Cameras Misidentified Black Teenager as Banned Troublemaker,USA
115,2020-07-28,Genderifys AI to Predict a Persons Gender Revealed by Free API Users to Exhibit Bias,worldwide
114,2018-07-26,Amazons Rekognition Falsely Matched Members of Congress to Mugshots,worldwide
107,2018-07-20,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims",CHN
119,2021-08-03,Xsolla Employees Fired by CEO Allegedly via Big Data Analytics of Work Activities,RUS
105,2019-08-24,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California",USA
99,2012-01-01,Major Universities Are Using Race as a “High Impact Predictor” of Student Success,worldwide
121,2020-03-27,Autonomous Kargu-2 Drone Allegedly Remotely Used to Hunt down Libyan Soldiers,LBY
109,2017-01-01,PimEyess Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,worldwide
101,2018-09-01,Dutch Families Wrongfully Accused of Tax Fraud Due to Discriminatory Algorithm,NLD
103,2020-09-18,Twitters Image Cropping Tool Allegedly Showed Gender and Racial Bias,worldwide
113,2020-06-27,"Facebooks AI Put ""Primates"" Label on Video Featuring Black Men",worldwide
122,2015-06-14,"Facebooks ""Tag Suggestions"" Allegedly Stored Biometric Data without User Consent",USA
102,2020-03-23,"Personal voice assistants struggle with black voices, new study shows",worldwide
112,2012-10-09,Police Departments Reported ShotSpotter as Unreliable and Wasteful,USA
100,2021-03-17,How French welfare services are creating robo-debt,FRA
116,2021-09-20,Amazons AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make,worldwide
118,2020-08-06,OpenAIs GPT-3 Associated Muslims with Violence,worldwide
120,2020-09-01,Philosophy AI Allegedly Used To Generate Mixture of Innocent and Harmful Reddit Posts,worldwide
117,2020-02-24,"TikToks ""Suggested Accounts"" Algorithm Allegedly Reinforced Racial Bias through Feedback Loops",worldwide
129,2021-03-01,"Facebooks Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement",worldwide
140,2020-06-01,ProctorUs Identity Verification and Exam Monitoring Systems Provided Allegedly Discriminatory Experiences for BIPOC Students,CAN
146,2021-10-22,"Research Prototype AI, Delphi, Reportedly Gave Racially Biased Answers on Ethics",worldwide
137,2021-01-11,"Israeli Tax Authority Reportedly Used an Opaque Automated System to Issue a Fine, Declining to Explain or Disclose the Underlying Calculation",ISR
144,2020-06-28,YouTubes AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation,worldwide
148,2021-11-21,Web Accessibility Vendors Allegedly Falsely Claimed to Provide Compliance Using AI,worldwide
160,2021-12-26,Alexa Recommended Dangerous TikTok Challenge to Ten-Year-Old Girl,worldwide
152,2021-07-13,"SoftBanks Humanoid Robot, Pepper, Reportedly Frequently Made Errors, Prompting Dismissal",worldwide
161,2019-04-03,Facebooks Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines,worldwide
164,2018-10-01,"Facebook ""News Feed"" Allegedly Boosted Misinformation and Violating Content Following Use of MSI Metric",worldwide
168,2022-03-01,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Recommendation Outputs",worldwide
133,2020-12-15,Online Trolls Allegedly Abused TikToks Automated Content Reporting System to Discriminate against Marginalized Creators,worldwide
131,2020-12-04,Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters,USA
153,2019-12-29,"Tesla Driver on Autopilot Ran a Red Light, Crashing into a Car and Killing Two People in Los Angeles",USA
145,2021-07-23,Teslas Autopilot Misidentified the Moon as Yellow Stop Light,worldwide
141,2021-02-05,California Police Turned on Music to Allegedly Trigger Instagrams DCMA to Avoid Being Live-Streamed,USA
134,2020-12-25,"Robot in Chinese Shopping Mall Fell off the Escalator, Knocking down Passengers",CHN
125,2020-09-29,Amazons Robotic Fulfillment Centers Have Higher Serious Injury Rates,worldwide
136,2020-12-06,"Brand Safety Tech Firms Falsely Claimed Use of AI, Blocking Ads Using Simple Keyword Lists",worldwide
138,2020-01-21,Alleged Issues with Proctorios Remote-Testing AI Prompted Suspension by University,USA
132,2020-12-27,TikToks Content Moderation Allegedly Failed to Adequately Take down Videos Promoting Eating Disorders,worldwide
135,2012-12-01,UT Austin GRADE Algorithm Allegedly Reinforced Historical Inequalities,USA
155,2021-12-27,Google Maps Allegedly Directed Sierra Nevada Travelers to Dangerous Roads amid Winter Storm,USA
162,2014-01-01,"ETS Used Allegedly Flawed Voice Recognition Evidence to Accuse and Assess Scale of Cheating, Causing Thousands to be Deported from the UK",GBR
171,2021-10-18,"Traffic Camera Misread Text on Pedestrians Shirt as License Plate, Causing UK Officials to Issue Fine to an Unrelated Person",GBR
151,2021-10-28,California Regulator Suspended Pony.ais Driverless Testing Permit Following a Non-Fatal Collision,USA
123,2021-08-01,Epic Systemss Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients,USA
156,2022-02-04,Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts,worldwide
143,2021-02-16,Facebooks and Twitters Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small Language Groups,worldwide
157,2021-03-15,"Amazons Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash",worldwide
170,2003-06-01,"Target Suggested Maternity-Related Advertisements to a Teenage Girls Home, Allegedly Correctly Predicting Her Pregnancy via Algorithm",USA
139,2021-01-21,Amazons Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation,worldwide
142,2021-02-11,Facebooks Advertisement Moderation System Routinely Misidentified Adaptive Fashion Products as Medical Equipment and Blocked Their Sellers,worldwide
150,2018-07-21,"Swedish Contraceptive App, Natural Cycles, Allegedly Failed to Correctly Map Menstrual Cycle",SWE
169,2018-08-15,Facebook Allegedly Failed to Police Anti-Rohingya Hate Speech Content That Contributed to Violence in Myanmar,MMR
147,2020-01-15,Reported AI-Cloned Voice Used to Deceive Hong Kong Bank Manager in Purported $35 Million Fraud Scheme,"JPN, ARE, HKG"
126,2021-07-16,"Three Robots Collided, Sparking Fire in a Grocers Warehouse in UK ",GBR
128,2017-08-01,"Tesla Sedan on Autopilot Reportedly Drove Over Dividing Curb in Washington, Resulting in Minor Vehicle Damage",worldwide
154,2022-01-26,Justice Departments Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines,worldwide
165,2020-06-20,Image Upscaling Algorithm PULSE Allegedly Produced Facial Images with Caucasian Features More Often,worldwide
158,2021-02-01,Facial Recognition in Remote Learning Software Reportedly Failed to Recognize a Black Students Face,worldwide
149,2021-11-02,Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tools Insufficient Accuracy,worldwide
124,2019-10-24,Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients Needs,worldwide
159,2019-03-29,Tesla Autopilots Lane Recognition Allegedly Vulnerable to Adversarial Attacks,worldwide
167,2017-09-07,Researchers Homosexual-Men Detection Model Denounced as a Threat to LGBTQ Peoples Safety and Privacy,USA
127,2020-06-06,Microsofts Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story,worldwide
163,2021-11-21,Facebooks Hate Speech Detection Algorithms Allegedly Disproportionately Failed to Remove Racist Content towards Minority Groups,worldwide
166,2020-02-07,"Networking Platform Giggle Employs AI to Determine Users Gender, Allegedly Excluding Transgender Women",worldwide
176,2022-03-02,"Starships Autonomous Food Delivery Robot Allegedly Stranded at Railroad Crossing in Oregon, Run over by Freight Train",USA
182,2018-06-11,Two Cruise Autonomous Vehicles Collided with Each Other in California ,USA
173,2021-07-30,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful",worldwide
203,2022-02-10,Uber Launched Opaque Algorithm That Changes Drivers Payments in the US,worldwide
184,2018-04-12,Facial Recognition Program in São Paulo Metro Stations Suspended for Illegal and Disproportionate Violation of Citizens Right to Privacy,worldwide
195,2015-09-01,Predictive Policing Program by Florida Sheriffs Office Allegedly Violated Residents Rights and Targeted Children of Vulnerable Groups,USA
213,2020-07-01,Facebooks Political Ad Detection Reportedly Showed High and Geographically Uneven Error Rates,worldwide
174,2022-02-28,Fake LinkedIn Profiles Created Using GAN Photos,worldwide
198,2022-03-16,Deepfake Video of Ukrainian President Yielding to Russia Posted on Ukrainian Websites and Social Media,"UKR, RUS"
175,2022-04-01,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco,USA
178,2022-04-21,"Tesla Owner Activated ""Smart Summon"" Feature, Causing a Collision with an Aircraft in a Washington Airport",worldwide
180,2020-02-19,Algorithm Used by the Malaysian Judiciary Reportedly Recommended Unusually High Sentencing to a Drug Possession Case,worldwide
183,2017-07-01,"Airbnbs Trustworthiness Algorithm Allegedly Banned Users without Explanation, and Discriminated against Sex Workers",worldwide
220,2020-11-11,Facebook Mistakenly Blocked Small Business Ads,worldwide
194,2018-02-01,"Australian Telcos Incident Management Bot Excessively Sent Technicians in the Field by Mistake, Allegedly Costing Millions",AUS
200,2019-03-01,Fraudsters Used AI to Mimic Voice of a UK-Based Firms CEOs Boss,GBR
206,2015-03-01,Tinders Personalized Pricing Algorithm Found to Offer Higher Prices for Older Users,worldwide
186,2007-07-26,"Algorithm Assessing Risk Faced by Victims of Gender Violence Misclassified Low-Risk Cases, Allegedly Leading to Homicide of Women and Children in Spain",ESP
202,2021-12-06,Korean Politician Employed Deepfake as Campaign Representative,KOR
216,2017-10-10,WeChats Machine Translation Gave a Racist English Translation for the Chinese Term for “Black Foreigner”,CHN
221,2022-03-07,A Road Engineer Killed Following a Collision Involving a Tesla on Autopilot,TWN
179,2022-04-01,DALL-E 2 Reported for Gender and Racially Biased Outputs,worldwide
172,2020-07-01,NarxCares Risk Score Model Allegedly Lacked Validation and Trained on Data with High Risk of Bias,USA
181,2022-02-11,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle",worldwide
190,2017-01-15,"ByteDance Allegedly Trained ""For You"" Algorithm Using Content Scraped without Consent from Other Social Platforms",USA
177,2022-04-19,Googles Assistive Writing Feature Provided Allegedly Unnecessary and Clumsy Suggestions,worldwide
188,2018-04-11,Argentinian City Government Deployed Teenage-Pregnancy Predictive Algorithm Using Invasive Demographic Data,ARG
191,2020-10-06,Korean Internet Portal Giant Naver Manipulated Shopping and Video Search Algorithms to Favor In-House Services,KOR
201,2020-04-14,Climate Action Group Posted Deepfake of Belgian Prime Minister Urging Climate Crisis Action,BEL
204,2022-02-11,A Chinese Tech Worker at Zhihu Fired Allegedly via a Resignation Risk Prediction Algorithm,CHN
209,2020-10-20,Tesla Disabled “Rolling Stop” Functionality Associated with the “Aggressive” Driving Mode,worldwide
219,2020-11-15,Poachers Evaded AI Cameras and Killed Four Rhinos,worldwide
189,2019-10-15,Opaque Fraud Detection Algorithm by the UKs Department of Work and Pensions Allegedly Discriminated against People with Disabilities,GBR
214,2020-01-02,SN Technologies Reportedly Lied to a New York State School District about Its Facial and Weapon Detection Systems Performance,USA
215,2020-04-01,Facebook Content Moderators Demand Better Working Conditions Due to Allegedly Inadequate AI Content Moderation,worldwide
192,2022-03-17,Three Make-Up Artists Lost Jobs Following Black-Box Automated Decision by HireVue,worldwide
217,2016-11-16,"Robot at a Chinese Tech Fair Smashed a Glass Booth, Injuring a Visitor",CHN
208,2021-05-01,"Tesla Phantom Braking Complaints Surged, Allegedly Linked to Tesla Vision Rollout",worldwide
212,2021-01-01,XPeng Motors Fined For Illegal Collection of Consumers Faces Using Facial Recognition Cameras,CHN
193,2013-11-27,"Excessive Automated Monitoring Alerts Ignored by Staff, Resulting in Private Data Theft of Seventy Million Target Customers",worldwide
196,2013-09-01,Compromise of National Biometric ID Card System Leads to Reverification and Change of Status,"PAK, AFG"
207,2021-01-10,Hawaii Police Deployed Robot Dog to Patrol a Homeless Encampment,USA
211,2021-12-11,A Tesla Taxi Cab Involved in an Accident in Paris with Twenty Injuries,FRA
187,2022-02-04,"YouTuber Tested Tesla on Self Driving Mode, Colliding with Street Pylons",worldwide
185,2022-03-01,"TikToks ""For You"" Algorithm Directed New Users towards Disinformation about the War in Ukraine","RUS, UKR"
205,2022-02-25,AI-Generated Profiles Used in Disinformation Campaign Targeting Ukrainians,"UKR, RUS"
218,2020-06-01,Tesla on Autopilot Crashed into Flipped Truck on Taiwan Highway,TWN
197,2021-10-01,"Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months",worldwide
199,2019-04-01,Ever AI Reportedly Deceived Customers about FRT Use in App,worldwide
210,2020-04-28,Indian Political App Tek Fog Allegedly Hijacked Trends and Manipulated Public Opinion on Other Social Media Platforms,IND
235,2016-04-15,"Chinese Insurer Ping An Employed Facial Recognition to Determine Customers Untrustworthiness, Which Critics Alleged to Likely Make Errors and Discriminate",CHN
227,2018-01-12,"Waze App Allegedly Caused Tourists Car to End up in Lake Champlain, Vermont",USA
222,2020-07-18,Thoughts App Allegedly Created Toxic Tweets,worldwide
223,2019-10-09,Hive Box Facial-Recognition Locks Hacked by Fourth Graders Using Intended Recipients Facial Photo,CHN
229,2018-04-23,Content Using Bestiality Thumbnails Allegedly Evaded YouTubes Thumbnail Monitoring System,KHM
224,2020-07-01,WeChat Pays Facial Recognition Security Evaded by Scammers Using Victims Social Media Content,CHN
239,2009-09-01,Algorithmic Teacher Evaluation Program Failed Student Outcome Goals and Allegedly Caused Harm Against Teachers,worldwide
225,2017-04-07,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations,USA
232,2018-04-29,"Tesla Model X on Autopilot Missed Parked Vehicles and Pedestrians, Killing Motorcyclist in Japan",JPN
242,2021-02-24,Manufacturing Robot Failure Caused Factory Workers Death in India,IND
244,2020-08-03,"Colorado Polices Automated License Plate Reader (ALPR) Matched a Familys Minivans Plate to That of a Stolen Vehicle Allegedly, Resulting in Detainment at Gunpoint",USA
233,2018-12-03,Tumblr Automated Pornography-Detecting Algorithms Erroneously Flagged Inoffensive Images as Explicit,worldwide
230,2019-03-01,"Model 3 Tesla on Autopilot Crashed into a Truck in Florida, Killing Driver",USA
246,2014-04-16,"Misreading of an Automated License Plate Reader (ALPR) Unverified by Police, Resulting in Traffic Stop in Missouri",USA
228,2019-02-01,Apple Maps Allegedly Directed Ski Trip Couple Onto Unpaved Road in the Mountains,USA
231,2016-01-20,A Tesla Crashed into and Killed a Road Sweeper on a Highway in China,CHN
245,2009-03-30,Unverified Misreading by Automated Plate Reader Led to Traffic Stop and Restraint of an Innocent Person at Gunpoint in California,USA
248,2018-11-23,Reported Automated License Plate Reader Alert on Previously Stolen Rental Car Leads to Alleged Wrongful Detainment in California,USA
236,2022-04-13,AI-Generated Faces Used by Scammers to Pose as a Law Firm in Boston,USA
234,2019-09-06,"Waze Allegedly Frequently Routed Drivers through the Town of Los Gatos, Blocking Its Single Wildfire Escape Route",worldwide
238,2018-10-01,Oregons Screening Tool for Child Abuse Cases Discontinued Following Concerns of Racial Bias,USA
226,2015-04-01,Waze Allegedly Clogged Streets and Directed Drivers to Make Unsafe Traffic Decisions,USA
241,2022-07-21,Chess-Playing Robot Broke Childs Finger in Russia,RUS
240,2021-06-29,"GitHub Copilot, Copyright Infringement and Open Source Licensing",worldwide
243,2020-01-01,Bots Allegedly Made up Roughly Half of Twitter Accounts in Discussions Surrounding COVID-19 Related Issues,USA
270,2011-04-18,"Apple Tweaked App Store Ranking Algorithms, Allegedly Resulted in Demotion of Local Apps in China",CHN
271,2022-07-24,Tesla Model 3 Sedan on Autopilot Killed Motorcyclist in a Rear-End Collision in Utah,USA
268,2020-03-16,Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts,worldwide
251,2018-08-01,Amazon Allegedly Tweaked Search Algorithm to Boost Its Own Products,worldwide
273,2020-12-24,FaceApp Predicted Different Genders for Similar User Photos with Slight Variations,worldwide
259,2022-06-03,"YouTuber Built, Made Publicly Available, and Released Model Trained on Toxic 4chan Posts as Prank",worldwide
255,2020-05-31,Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case,USA
266,2022-01-15,"Replikas ""AI Companions"" Reportedly Abused by Its Users",worldwide
253,2022-05-18,"Cruises Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francisco",USA
249,2016-10-01,Government Deployed Extreme Surveillance Technologies to Monitor and Target Muslim Minorities in Xinjiang,CHN
254,2015-05-01,"Googles Face Grouping Allegedly Collected and Analyzed Users Facial Structure without Consent, Violated BIPA",USA
256,2021-11-07,DUI Arrest Case Allegedly Based Only on ShotSpotters Alert,USA
250,2016-02-01,Dutch City Court Defended Home Value Generated by Black-Box Algorithm,NLD
258,2022-05-13,Australian Retailers Reportedly Captured Face Prints of Their Customers without Consent,AUS
274,2003-07-01,Virginia Courts Algorithmic Recidivism Risk Assessment Failed to Lower Incarceration Rates,USA
267,2017-06-15,Clearview AI Algorithm Built on Photos Scraped from Social Media Profiles without Consent,worldwide
257,2012-05-04,Police Reportedly Deployed ShotSpotter Sensors Disproportionately in Neighborhoods of Color,worldwide
264,2022-03-01,AI-Based Vehicle Speed Estimation App Denounced by UK Drivers as Surveillance Technology,GBR
252,2022-06-01,Remotely Operated Taser-Armed Drones Proposed by Taser Manufacturer as Defense for School Shootings in the US,worldwide
272,2019-10-08,"Grab Tweaked Matchmaking Algorithm, Providing Preferential Treatment to Drivers Registered with Affiliated Car Rental Service",IDN
260,2014-08-26,US DHSs Opaque Vetting Software Allegedly Relied on Poor-Quality Data and Discriminated against Immigrants,worldwide
261,2017-11-15,"Robot Deployed by Animal Shelter to Patrol Sidewalks outside Its Office, Warding off Homeless People in San Francisco",USA
262,2022-06-11,DALL-E Mini Reportedly Reinforced or Exacerbated Societal Biases in Its Outputs as Gender and Racial Stereotypes,worldwide
263,2015-09-01,YouTube Recommendations Implicated in Political Radicalization of User,worldwide
265,2021-04-01,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results,worldwide
278,2022-08-07,Metas BlenderBot 3 Chatbot Demo Made Offensive Antisemitic Comments,worldwide
275,2020-06-11,Facebooks Moderation Algorithm Banned Users for Historical Evidence of Slavery,AUS
285,2022-07-18,Google Lenss Camera-Based Translation Feature Provided an Offensive Mistranslation of a Book Title in Korean,KOR
330,2016-12-15,“Amazons Choice” Algorithm Failed to Recommend Functional Products and Prone to Review Manipulation,worldwide
299,2020-12-15,Japanese Porn Depixelated by Man using Deepfake,JPN
323,2018-05-29,Tesla on Autopilot Crashed into Parked Police Car in California,USA
293,2022-06-03,Cruises Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection,USA
325,2017-09-21,Offensive Instagram User Content Displayed as Facebook Ad,worldwide
328,2020-06-13,Fake Accounts Using GAN Faces Deployed by Propaganda Campaign on Social Platforms,CHN
347,2021-05-06,"Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew",USA
350,2022-09-13,Delivery Robot Rolled Through Crime Scene,worldwide
291,2021-05-28,Tesla Allegedly Misled Customers about Autopilot and FSD Capabilities,USA
294,2018-05-26,Tesla Autopilot Allegedly Malfunctioned in a Non-Fatal Collision in Greece,GRC
280,2013-07-30,Coffee Meets Bagels Algorithm Reported by Users Disproportionately Showing Them Matches of Their Own Ethnicities Despite Selecting “No Preference”,worldwide
287,2020-10-27,OpenAIs GPT-3 Reported as Unviable in Medical Tasks by Healthcare Firm,FRA
295,2018-11-08,Wrongful Attempted Arrest for Apple Store Thefts Due to NYPDs Facial Misidentification,USA
320,2018-01-22,Tesla on Autopilot Collided with Parked Fire Truck on California Freeway,USA
326,2014-12-09,Facebook Automated Year-in-Review Highlights Showed Users Painful Memories,worldwide
335,2015-03-01,UK Visa Streamline Algorithm Allegedly Discriminated Based on Nationality,GBR
292,2021-09-01,Apples AVs Reportedly Struggled to Navigate Streets in Silicon Valley Test Drives,USA
300,2022-01-15,"TikToks ""For You"" Algorithm Allegedly Abused by Online Personality to Promote Anti-Women Hate",worldwide
318,2021-01-13,Facebook Recommended Military Gear Ads Despite Pause on Weapons Accessories Ads,worldwide
