incident_id,date,title,deployer_developer_countries
32,2017-09-13,Identical Twins Can Open Apple FaceID Protected Devices,USA
44,2008-07-01,Machine Personal Assistants Failed to Maintain Social Norms,USA
35,2014-10-18,Employee Automatically Terminated by Computer Program,Unknown
47,2016-09-06,LinkedIn Search Prefers Male Names,USA
48,2016-12-07,Passport checker Detects Asian man's Eyes as Closed,NZL
28,2010-05-08,2010 Market Flash Crash,"GBR, USA"
43,1998-03-05,Racist AI behaviour is not a new problem,GBR
26,2017-09-13,Hackers Break Apple Face ID,USA
33,2017-11-09,Amazon Alexa Plays Loud Music when Owner is Away,USA
46,2014-01-21,Nest Smoke Alarm Erroneously Stops Alarming,USA
39,2017-07-01,Deepfake Obama Introduction of Deepfakes,USA
30,2016-10-08,Poor Performance of Tesla Factory Robots,USA
36,2018-11-06,Picture of Woman on Side of Bus Shamed for Jaywalking,CHN
41,2018-04-02,All Image Captions Produced are Violent,USA
42,1996-04-03,Inefficiencies in the United States Resident Matching Program,USA
45,2011-04-05,Defamation via AutoComplete,USA
38,2016-06-02,Game AI System Produces Imbalanced Game,USA
40,2016-05-23,COMPAS Algorithm Reportedly Performs Poorly in Crime Recidivism Prediction,USA
64,2018-01-22,Customer Service Robot Scares Away Customers,GBR
67,2018-12-01,Sleeping Driver on Tesla AutoPilot,USA
60,2017-04-25,FaceApp Racial Filters,RUS
54,2015-11-18,Predictive Policing Biases of PredPol,USA
68,2017-07-17,Security Robot Drowns Itself in a Fountain,USA
58,2017-10-12,Russian Chatbot Supports Stalin and Violence,RUS
61,2017-05-01,Overfit Kaggle Models Discouraged Data Science Competitors,Unknown
52,2016-07-01,Tesla on AutoPilot Killed Driver in Crash in Florida while Watching Movie,USA
70,2016-02-10,Self-driving cars in winter,SWE
59,2017-04-13,Gender Biases in Google Translate,USA
62,2017-12-23,Bad AI-Written Christmas Carols,USA
51,2016-07-12,Security Robot Rolls Over Child in Mall,USA
53,2016-03-31,Biased Google Image Results,USA
63,2018-01-25,Google Photo Merge Decapitates Subject,USA
56,2017-07-10,AI-Designed Phone Cases Are Unexpected,Unknown
57,2015-07-01,Australian Automated Debt Assessment System Issued False Notices to Thousands,AUS
65,2016-12-22,Reinforcement Learning Reward Functions in Video Games,USA
50,2016-06-17,The DAO Hack,Unknown
71,2016-02-14,Google Waymo Vehicle and Bus Allegedly Collide in California,USA
55,2016-12-30,Alexa Plays Pornography Instead of Kids Song,USA
69,2015-07-02,Worker killed by robot in welding accident at car parts factory in India,IND
66,2017-08-02,Chinese Chatbots Question Communist Party,"CHN, USA"
49,2016-09-05,AI Beauty Judge Did Not Like Dark Skin,RUS
72,2017-10-17,"Facebook translates 'good morning' into 'attack them', leading to arrest",USA
82,2020-10-21,#LekkiMassacre: Why Facebook labelled content from October 20 incident ‘false’,USA
93,2018-08-13,HUD charges Facebook with enabling housing discrimination,USA
85,2020-10-09,"AI attempts to ease fear of robots, blurts out it can’t ‘avoid destroying humankind’",USA
84,2020-10-09,"Tiny Changes Let False Claims About COVID-19, Voting Evade Facebook Fact Checks",USA
77,2019-10-04,Knightscope's Park Patrol Robot Ignored Bystander Pressing Emergency Button to Alert Police about Fight,USA
78,2020-07-06,Meet the Secret Algorithm That's Keeping Students Out of College,CHE
96,2017-05-08,Houston Schools Must Face Teacher Evaluation Lawsuit,USA
88,2017-08-15,"""Jewish Baby Strollers"" Provided Anti-Semitic Google Images, Allegedly Resulting from Hate Speech Campaign",USA
73,2016-03-01,Is Pokémon Go racist? How the app may be redlining communities of color,USA
75,2012-01-05,Google Instant's Allegedly 'Anti-Semitic' Results Lead To Lawsuit In France,USA
81,2020-10-21,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers","CAN, USA"
86,2020-10-08,Coding Errors in Leaving Certificate Grading Algorithm Caused Inaccurate Scores in Ireland,IRL
74,2020-01-30,Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT,USA
95,2019-11-06,Job Screening Service Halts Facial Analysis of Applicants,USA
80,2020-10-24,AI mistakes referee’s bald head for football — hilarity ensued,GBR
83,2020-10-22,AI Spam Filters Allegedly Block Legitimate Emails Based on Biased Keyword Detection,"DEU, FRA, NGA, USA"
97,2020-10-22,Tesla Autopilot Mistakes Red Letters on Flag for Red Traffic Lights,USA
98,2021-04-28,N.Y.P.D. Robot Dog’s Run Is Cut Short After Fierce Backlash,USA
79,1999-03-16,Kidney Testing Method Allegedly Underestimated Risk of Black Patients,USA
87,2020-10-07,UK passport photo checker shows bias against dark-skinned women,GBR
91,2020-12-18,Frontline workers protest at Stanford after hospital distributed vaccine to administrators,USA
76,2020-10-09,Live facial recognition is tracking kids suspected of being criminals,Unknown
92,2019-11-11,Apple Card's Credit Assessment Algorithm Allegedly Discriminated against Women,USA
89,2019-03-15,The Christchurch shooter and YouTube’s radicalization trap,USA
94,2020-11-27,Court Rules Deliveroo Used 'Discriminatory' Algorithm,GBR
110,2016-01-01,Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries,USA
111,2015-09-25,Amazon Flex Drivers Allegedly Fired via Automated Employee Evaluations,USA
104,2021-02-12,"California's Algorithm Considered ZIP Codes in Vaccine Distribution, Allegedly Excluding Low-Income Neighborhoods and Communities of Color",USA
106,2020-12-23,Korean Chatbot Luda Made Offensive Remarks towards Minority Groups,KOR
108,2021-07-10,Skating Rink’s Facial Recognition Cameras Misidentified Black Teenager as Banned Troublemaker,USA
115,2020-07-28,Genderify’s AI to Predict a Person’s Gender Revealed by Free API Users to Exhibit Bias,USA
114,2018-07-26,Amazon's Rekognition Falsely Matched Members of Congress to Mugshots,USA
107,2018-07-20,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims",CHN
119,2021-08-03,Xsolla Employees Fired by CEO Allegedly via Big Data Analytics of Work Activities,RUS
105,2019-08-24,"Tesla Model 3 on Autopilot Crashed into a Ford Explorer Pickup, Killing a Fifteen-Year-Old in California",USA
99,2012-01-01,Major Universities Are Using Race as a “High Impact Predictor” of Student Success,USA
121,2020-03-27,Autonomous Kargu-2 Drone Allegedly Remotely Used to Hunt down Libyan Soldiers,TUR
109,2017-01-01,PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,POL
101,2018-09-01,Dutch Families Wrongfully Accused of Tax Fraud Due to Discriminatory Algorithm,NLD
103,2020-09-18,Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias,USA
113,2020-06-27,"Facebook's AI Put ""Primates"" Label on Video Featuring Black Men",USA
122,2015-06-14,"Facebook’s ""Tag Suggestions"" Allegedly Stored Biometric Data without User Consent",USA
102,2020-03-23,"Personal voice assistants struggle with black voices, new study shows",USA
112,2012-10-09,Police Departments Reported ShotSpotter as Unreliable and Wasteful,USA
100,2021-03-17,How French welfare services are creating ‘robo-debt’,FRA
116,2021-09-20,Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make,USA
118,2020-08-06,OpenAI's GPT-3 Associated Muslims with Violence,USA
120,2020-09-01,Philosophy AI Allegedly Used To Generate Mixture of Innocent and Harmful Reddit Posts,USA
117,2020-02-24,"TikTok's ""Suggested Accounts"" Algorithm Allegedly Reinforced Racial Bias through Feedback Loops",CHN
129,2021-03-01,"Facebook's Automated Tools Failed to Adequately Remove Hate Speech, Violence, and Incitement",USA
140,2020-06-01,ProctorU’s Identity Verification and Exam Monitoring Systems Provided Allegedly Discriminatory Experiences for BIPOC Students,"CAN, USA"
146,2021-10-22,"Research Prototype AI, Delphi, Reportedly Gave Racially Biased Answers on Ethics",USA
137,2021-01-11,"Israeli Tax Authority Reportedly Used an Opaque Automated System to Issue a Fine, Declining to Explain or Disclose the Underlying Calculation",ISR
144,2020-06-28,YouTube's AI Mistakenly Banned Chess Channel over Chess Language Misinterpretation,USA
148,2021-11-21,Web Accessibility Vendors Allegedly Falsely Claimed to Provide Compliance Using AI,"ISR, USA"
160,2021-12-26,Alexa Recommended Dangerous TikTok Challenge to Ten-Year-Old Girl,USA
152,2021-07-13,"SoftBank's Humanoid Robot, Pepper, Reportedly Frequently Made Errors, Prompting Dismissal",Unknown
161,2019-04-03,Facebook's Ad Delivery Reportedly Excluded Audience along Racial and Gender Lines,USA
164,2018-10-01,"Facebook ""News Feed"" Allegedly Boosted Misinformation and Violating Content Following Use of MSI Metric",USA
168,2022-03-01,"Collaborative Filtering Prone to Popularity Bias, Resulting in Overrepresentation of Popular Items in the Recommendation Outputs",USA
133,2020-12-15,Online Trolls Allegedly Abused TikTok’s Automated Content Reporting System to Discriminate against Marginalized Creators,CHN
131,2020-12-04,Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters,USA
153,2019-12-29,"Tesla Driver on Autopilot Ran a Red Light, Crashing into a Car and Killing Two People in Los Angeles",USA
145,2021-07-23,Tesla's Autopilot Misidentified the Moon as Yellow Stop Light,USA
141,2021-02-05,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed,USA
134,2020-12-25,"Robot in Chinese Shopping Mall Fell off the Escalator, Knocking down Passengers",CHN
125,2020-09-29,Amazon’s Robotic Fulfillment Centers Have Higher Serious Injury Rates,USA
136,2020-12-06,"Brand Safety Tech Firms Falsely Claimed Use of AI, Blocking Ads Using Simple Keyword Lists",Unknown
138,2020-01-21,Alleged Issues with Proctorio's Remote-Testing AI Prompted Suspension by University,USA
132,2020-12-27,TikTok’s Content Moderation Allegedly Failed to Adequately Take down Videos Promoting Eating Disorders,CHN
135,2012-12-01,UT Austin GRADE Algorithm Allegedly Reinforced Historical Inequalities,USA
155,2021-12-27,Google Maps Allegedly Directed Sierra Nevada Travelers to Dangerous Roads amid Winter Storm,USA
162,2014-01-01,"ETS Used Allegedly Flawed Voice Recognition Evidence to Accuse and Assess Scale of Cheating, Causing Thousands to be Deported from the UK",USA
171,2021-10-18,"Traffic Camera Misread Text on Pedestrian's Shirt as License Plate, Causing UK Officials to Issue Fine to an Unrelated Person",GBR
151,2021-10-28,California Regulator Suspended Pony.ai's Driverless Testing Permit Following a Non-Fatal Collision,CHN
123,2021-08-01,Epic Systems’s Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients,USA
156,2022-02-04,Amazon Reportedly Sold Products and Recommended Frequently Bought Together Items That Aid Suicide Attempts,USA
143,2021-02-16,Facebook’s and Twitter's Automated Content Moderation Reportedly Failed to Effectively Enforce Violation Rules for Small Language Groups,USA
157,2021-03-15,"Amazon's Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash",USA
170,2003-06-01,"Target Suggested Maternity-Related Advertisements to a Teenage Girl's Home, Allegedly Correctly Predicting Her Pregnancy via Algorithm",USA
139,2021-01-21,Amazon’s Search and Recommendation Algorithms Found by Auditors to Have Boosted Products That Contained Vaccine Misinformation,USA
142,2021-02-11,Facebook’s Advertisement Moderation System Routinely Misidentified Adaptive Fashion Products as Medical Equipment and Blocked Their Sellers,USA
150,2018-07-21,"Swedish Contraceptive App, Natural Cycles, Allegedly Failed to Correctly Map Menstrual Cycle",SWE
169,2018-08-15,Facebook Allegedly Failed to Police Anti-Rohingya Hate Speech Content That Contributed to Violence in Myanmar,USA
147,2020-01-15,Reported AI-Cloned Voice Used to Deceive Hong Kong Bank Manager in Purported $35 Million Fraud Scheme,"CHN, JPN, USA"
126,2021-07-16,"Three Robots Collided, Sparking Fire in a Grocer's Warehouse in UK ",GBR
128,2017-08-01,"Tesla Sedan on Autopilot Reportedly Drove Over Dividing Curb in Washington, Resulting in Minor Vehicle Damage",USA
154,2022-01-26,Justice Department’s Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines,USA
165,2020-06-20,Image Upscaling Algorithm PULSE Allegedly Produced Facial Images with Caucasian Features More Often,USA
158,2021-02-01,Facial Recognition in Remote Learning Software Reportedly Failed to Recognize a Black Student’s Face,Unknown
149,2021-11-02,Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tool's Insufficient Accuracy,Unknown
124,2019-10-24,Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients' Needs,Unknown
159,2019-03-29,Tesla Autopilot’s Lane Recognition Allegedly Vulnerable to Adversarial Attacks,USA
167,2017-09-07,Researchers' Homosexual-Men Detection Model Denounced as a Threat to LGBTQ People’s Safety and Privacy,USA
127,2020-06-06,Microsoft’s Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story,USA
163,2021-11-21,Facebook’s Hate Speech Detection Algorithms Allegedly Disproportionately Failed to Remove Racist Content towards Minority Groups,USA
166,2020-02-07,"Networking Platform Giggle Employs AI to Determine Users’ Gender, Allegedly Excluding Transgender Women",Unknown
176,2022-03-02,"Starship’s Autonomous Food Delivery Robot Allegedly Stranded at Railroad Crossing in Oregon, Run over by Freight Train","EST, USA"
182,2018-06-11,Two Cruise Autonomous Vehicles Collided with Each Other in California ,USA
173,2021-07-30,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful",Unknown
203,2022-02-10,Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US,USA
184,2018-04-12,Facial Recognition Program in São Paulo Metro Stations Suspended for Illegal and Disproportionate Violation of Citizens’ Right to Privacy,Unknown
195,2015-09-01,Predictive Policing Program by Florida Sheriff’s Office Allegedly Violated Residents’ Rights and Targeted Children of Vulnerable Groups,USA
213,2020-07-01,Facebook’s Political Ad Detection Reportedly Showed High and Geographically Uneven Error Rates,USA
174,2022-02-28,Fake LinkedIn Profiles Created Using GAN Photos,Unknown
198,2022-03-16,Deepfake Video of Ukrainian President Yielding to Russia Posted on Ukrainian Websites and Social Media,"RUS, UKR"
175,2022-04-01,Cruise Autonomous Taxi Allegedly Bolted off from Police After Being Pulled over in San Francisco,USA
178,2022-04-21,"Tesla Owner Activated ""Smart Summon"" Feature, Causing a Collision with an Aircraft in a Washington Airport",USA
180,2020-02-19,Algorithm Used by the Malaysian Judiciary Reportedly Recommended Unusually High Sentencing to a Drug Possession Case,Unknown
183,2017-07-01,"Airbnb's Trustworthiness Algorithm Allegedly Banned Users without Explanation, and Discriminated against Sex Workers",USA
220,2020-11-11,Facebook Mistakenly Blocked Small Business Ads,USA
194,2018-02-01,"Australian Telco’s Incident Management Bot Excessively Sent Technicians in the Field by Mistake, Allegedly Costing Millions",AUS
200,2019-03-01,Fraudsters Used AI to Mimic Voice of a UK-Based Firm's CEO's Boss,GBR
206,2015-03-01,Tinder's Personalized Pricing Algorithm Found to Offer Higher Prices for Older Users,USA
186,2007-07-26,"Algorithm Assessing Risk Faced by Victims of Gender Violence Misclassified Low-Risk Cases, Allegedly Leading to Homicide of Women and Children in Spain",ESP
202,2021-12-06,Korean Politician Employed Deepfake as Campaign Representative,KOR
216,2017-10-10,WeChat’s Machine Translation Gave a Racist English Translation for the Chinese Term for “Black Foreigner”,CHN
221,2022-03-07,A Road Engineer Killed Following a Collision Involving a Tesla on Autopilot,USA
179,2022-04-01,DALL-E 2 Reported for Gender and Racially Biased Outputs,USA
172,2020-07-01,NarxCare’s Risk Score Model Allegedly Lacked Validation and Trained on Data with High Risk of Bias,USA
181,2022-02-11,"BMW Sedan Made a Prohibited Left Turn, Colliding with a Cruise Autonomous Vehicle",USA
190,2017-01-15,"ByteDance Allegedly Trained ""For You"" Algorithm Using Content Scraped without Consent from Other Social Platforms",CHN
177,2022-04-19,Google’s Assistive Writing Feature Provided Allegedly Unnecessary and Clumsy Suggestions,USA
188,2018-04-11,Argentinian City Government Deployed Teenage-Pregnancy Predictive Algorithm Using Invasive Demographic Data,"ARG, USA"
191,2020-10-06,Korean Internet Portal Giant Naver Manipulated Shopping and Video Search Algorithms to Favor In-House Services,KOR
201,2020-04-14,Climate Action Group Posted Deepfake of Belgian Prime Minister Urging Climate Crisis Action,Unknown
204,2022-02-11,A Chinese Tech Worker at Zhihu Fired Allegedly via a Resignation Risk Prediction Algorithm,CHN
209,2020-10-20,Tesla Disabled “Rolling Stop” Functionality Associated with the “Aggressive” Driving Mode,USA
219,2020-11-15,Poachers Evaded AI Cameras and Killed Four Rhinos,Unknown
189,2019-10-15,Opaque Fraud Detection Algorithm by the UK’s Department of Work and Pensions Allegedly Discriminated against People with Disabilities,GBR
214,2020-01-02,SN Technologies Reportedly Lied to a New York State School District about Its Facial and Weapon Detection Systems’ Performance,USA
215,2020-04-01,Facebook Content Moderators Demand Better Working Conditions Due to Allegedly Inadequate AI Content Moderation,USA
192,2022-03-17,Three Make-Up Artists Lost Jobs Following Black-Box Automated Decision by HireVue,USA
217,2016-11-16,"Robot at a Chinese Tech Fair Smashed a Glass Booth, Injuring a Visitor",CHN
208,2021-05-01,"Tesla Phantom Braking Complaints Surged, Allegedly Linked to Tesla Vision Rollout",USA
212,2021-01-01,XPeng Motors Fined For Illegal Collection of Consumers’ Faces Using Facial Recognition Cameras,CHN
193,2013-11-27,"Excessive Automated Monitoring Alerts Ignored by Staff, Resulting in Private Data Theft of Seventy Million Target Customers",USA
196,2013-09-01,Compromise of National Biometric ID Card System Leads to Reverification and Change of Status,PAK
207,2021-01-10,Hawaii Police Deployed Robot Dog to Patrol a Homeless Encampment,USA
211,2021-12-11,A Tesla Taxi Cab Involved in an Accident in Paris with Twenty Injuries,"FRA, USA"
187,2022-02-04,"YouTuber Tested Tesla on Self Driving Mode, Colliding with Street Pylons",USA
185,2022-03-01,"TikTok's ""For You"" Algorithm Directed New Users towards Disinformation about the War in Ukraine",CHN
205,2022-02-25,AI-Generated Profiles Used in Disinformation Campaign Targeting Ukrainians,"RUS, UKR"
218,2020-06-01,Tesla on Autopilot Crashed into Flipped Truck on Taiwan Highway,USA
197,2021-10-01,"Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months",USA
199,2019-04-01,Ever AI Reportedly Deceived Customers about FRT Use in App,Unknown
210,2020-04-28,Indian Political App Tek Fog Allegedly Hijacked Trends and Manipulated Public Opinion on Other Social Media Platforms,IND
235,2016-04-15,"Chinese Insurer Ping An Employed Facial Recognition to Determine Customers’ Untrustworthiness, Which Critics Alleged to Likely Make Errors and Discriminate",CHN
227,2018-01-12,"Waze App Allegedly Caused Tourists’ Car to End up in Lake Champlain, Vermont",ISR
222,2020-07-18,Thoughts App Allegedly Created Toxic Tweets,USA
223,2019-10-09,Hive Box Facial-Recognition Locks Hacked by Fourth Graders Using Intended Recipient’s Facial Photo,CHN
229,2018-04-23,Content Using Bestiality Thumbnails Allegedly Evaded YouTube’s Thumbnail Monitoring System,USA
224,2020-07-01,WeChat Pay's Facial Recognition Security Evaded by Scammers Using Victims’ Social Media Content,CHN
239,2009-09-01,Algorithmic Teacher Evaluation Program Failed Student Outcome Goals and Allegedly Caused Harm Against Teachers,USA
225,2017-04-07,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations,USA
232,2018-04-29,"Tesla Model X on Autopilot Missed Parked Vehicles and Pedestrians, Killing Motorcyclist in Japan",USA
242,2021-02-24,Manufacturing Robot Failure Caused Factory Worker's Death in India,IND
244,2020-08-03,"Colorado Police’s Automated License Plate Reader (ALPR) Matched a Family’s Minivan’s Plate to That of a Stolen Vehicle Allegedly, Resulting in Detainment at Gunpoint",USA
233,2018-12-03,Tumblr Automated Pornography-Detecting Algorithms Erroneously Flagged Inoffensive Images as Explicit,USA
230,2019-03-01,"Model 3 Tesla on Autopilot Crashed into a Truck in Florida, Killing Driver",USA
246,2014-04-16,"Misreading of an Automated License Plate Reader (ALPR) Unverified by Police, Resulting in Traffic Stop in Missouri",USA
228,2019-02-01,Apple Maps Allegedly Directed Ski Trip Couple Onto Unpaved Road in the Mountains,USA
231,2016-01-20,A Tesla Crashed into and Killed a Road Sweeper on a Highway in China,USA
245,2009-03-30,Unverified Misreading by Automated Plate Reader Led to Traffic Stop and Restraint of an Innocent Person at Gunpoint in California,USA
248,2018-11-23,Reported Automated License Plate Reader Alert on Previously Stolen Rental Car Leads to Alleged Wrongful Detainment in California,USA
236,2022-04-13,AI-Generated Faces Used by Scammers to Pose as a Law Firm in Boston,USA
234,2019-09-06,"Waze Allegedly Frequently Routed Drivers through the Town of Los Gatos, Blocking Its Single Wildfire Escape Route",ISR
238,2018-10-01,Oregon’s Screening Tool for Child Abuse Cases Discontinued Following Concerns of Racial Bias,USA
226,2015-04-01,Waze Allegedly Clogged Streets and Directed Drivers to Make Unsafe Traffic Decisions,ISR
241,2022-07-21,Chess-Playing Robot Broke Child's Finger in Russia,RUS
240,2021-06-29,"GitHub Copilot, Copyright Infringement and Open Source Licensing",USA
243,2020-01-01,Bots Allegedly Made up Roughly Half of Twitter Accounts in Discussions Surrounding COVID-19 Related Issues,USA
270,2011-04-18,"Apple Tweaked App Store Ranking Algorithms, Allegedly Resulted in Demotion of Local Apps in China",USA
271,2022-07-24,Tesla Model 3 Sedan on Autopilot Killed Motorcyclist in a Rear-End Collision in Utah,USA
268,2020-03-16,Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts,USA
251,2018-08-01,Amazon Allegedly Tweaked Search Algorithm to Boost Its Own Products,USA
273,2020-12-24,FaceApp Predicted Different Genders for Similar User Photos with Slight Variations,RUS
259,2022-06-03,"YouTuber Built, Made Publicly Available, and Released Model Trained on Toxic 4chan Posts as Prank",CHE
255,2020-05-31,Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case,USA
266,2022-01-15,"Replika's ""AI Companions"" Reportedly Abused by Its Users",USA
253,2022-05-18,"Cruise's Self-Driving Cars Allegedly Lost Connection to Their Server, Causing Traffic Blockages in San Francisco",USA
249,2016-10-01,Government Deployed Extreme Surveillance Technologies to Monitor and Target Muslim Minorities in Xinjiang,CHN
254,2015-05-01,"Google’s Face Grouping Allegedly Collected and Analyzed Users’ Facial Structure without Consent, Violated BIPA",USA
256,2021-11-07,DUI Arrest Case Allegedly Based Only on ShotSpotter's Alert,USA
250,2016-02-01,Dutch City Court Defended Home Value Generated by Black-Box Algorithm,NLD
258,2022-05-13,Australian Retailers Reportedly Captured Face Prints of Their Customers without Consent,AUS
274,2003-07-01,Virginia Courts’ Algorithmic Recidivism Risk Assessment Failed to Lower Incarceration Rates,USA
267,2017-06-15,Clearview AI Algorithm Built on Photos Scraped from Social Media Profiles without Consent,USA
257,2012-05-04,Police Reportedly Deployed ShotSpotter Sensors Disproportionately in Neighborhoods of Color,USA
264,2022-03-01,AI-Based Vehicle Speed Estimation App Denounced by UK Drivers as Surveillance Technology,GBR
252,2022-06-01,Remotely Operated Taser-Armed Drones Proposed by Taser Manufacturer as Defense for School Shootings in the US,USA
272,2019-10-08,"Grab Tweaked Matchmaking Algorithm, Providing Preferential Treatment to Drivers Registered with Affiliated Car Rental Service",SGP
260,2014-08-26,US DHS’s Opaque Vetting Software Allegedly Relied on Poor-Quality Data and Discriminated against Immigrants,USA
261,2017-11-15,"Robot Deployed by Animal Shelter to Patrol Sidewalks outside Its Office, Warding off Homeless People in San Francisco",USA
262,2022-06-11,DALL-E Mini Reportedly Reinforced or Exacerbated Societal Biases in Its Outputs as Gender and Racial Stereotypes,USA
263,2015-09-01,YouTube Recommendations Implicated in Political Radicalization of User,USA
265,2021-04-01,Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results,USA
278,2022-08-07,Meta’s BlenderBot 3 Chatbot Demo Made Offensive Antisemitic Comments,USA
275,2020-06-11,Facebook’s Moderation Algorithm Banned Users for Historical Evidence of Slavery,USA
285,2022-07-18,Google Lens’s Camera-Based Translation Feature Provided an Offensive Mistranslation of a Book Title in Korean,USA
330,2016-12-15,“Amazon’s Choice” Algorithm Failed to Recommend Functional Products and Prone to Review Manipulation,USA
299,2020-12-15,Japanese Porn Depixelated by Man using Deepfake,JPN
323,2018-05-29,Tesla on Autopilot Crashed into Parked Police Car in California,USA
293,2022-06-03,Cruise’s Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection,USA
325,2017-09-21,Offensive Instagram User Content Displayed as Facebook Ad,USA
328,2020-06-13,Fake Accounts Using GAN Faces Deployed by Propaganda Campaign on Social Platforms,CHN
347,2021-05-06,"Waymo Self-Driving Taxi Reportedly Behaved Unexpectedly, Driving away from Support Crew",USA
350,2022-09-13,Delivery Robot Rolled Through Crime Scene,USA
291,2021-05-28,Tesla Allegedly Misled Customers about Autopilot and FSD Capabilities,USA
294,2018-05-26,Tesla Autopilot Allegedly Malfunctioned in a Non-Fatal Collision in Greece,USA
280,2013-07-30,Coffee Meets Bagel’s Algorithm Reported by Users Disproportionately Showing Them Matches of Their Own Ethnicities Despite Selecting “No Preference”,USA
287,2020-10-27,OpenAI’s GPT-3 Reported as Unviable in Medical Tasks by Healthcare Firm,"FRA, USA"
295,2018-11-08,Wrongful Attempted Arrest for Apple Store Thefts Due to NYPD’s Facial Misidentification,USA
320,2018-01-22,Tesla on Autopilot Collided with Parked Fire Truck on California Freeway,USA
326,2014-12-09,Facebook Automated Year-in-Review Highlights Showed Users Painful Memories,USA
335,2015-03-01,UK Visa Streamline Algorithm Allegedly Discriminated Based on Nationality,GBR
292,2021-09-01,Apple’s AVs Reportedly Struggled to Navigate Streets in Silicon Valley Test Drives,USA
300,2022-01-15,"TikTok's ""For You"" Algorithm Allegedly Abused by Online Personality to Promote Anti-Women Hate",CHN
318,2021-01-13,Facebook Recommended Military Gear Ads Despite Pause on Weapons Accessories Ads,USA
319,2019-12-29,Tesla on Autopilot Fatally Crashed into Parked Fire Truck in Indiana,USA
